상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,64468,47113,17355,8494,8678,9945,9474,10522,10532,6823,0,3939,22946,13684,23409,490,29352,35116,873,7853,16209,18275,13854,7404,594760644,424581042,170179602,86119290,68714009,87935443,85109354,96702946,101748105,68431497,0,34508830,219839571,121249360,214632110,4530773,279702916,315057728,6492782,69387532,149379999,181656789,122587819,65255723,5,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376,935,11,0,0,0,0,0,0,0,0,0,91130,1211862,442720,502951,933081,312779,3494523,0
2130325,248,185,63,26,48,43,15,53,25,38,0,0,100,31,117,0,99,149,0,61,90,35,53,9,3000000,2113854,886146,240153,500423,559009,152371,661898,353127,533019,0,0,1159351,384561,1456088,0,1330899,1669101,0,687801,1187819,530963,521781,71636,4,203108,89846,113262,35654,21756,26649,33010,31538,54500,38231,39526,28311,28916,42337,25788,28386,29158,29257,29213,29350,28860,28885,89,2,0,0,0,0,0,0,0,0,0,62841,796122,409169,475524,742212,272870,2758738,0
2130324,4846,3344,1502,525,499,671,869,780,844,658,12,217,1937,1177,1426,77,2804,2042,13,443,690,1507,1210,983,59734721,40638147,19096574,6429233,5426943,9292920,10008201,9480850,9735258,9361316,329196,1879295,24800297,13726520,17783624,1215789,33322717,26412004,124429,4403390,8435580,19471098,16354848,10945376,14,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154,5,0,0,0,0,0,0,0,0,0,44035,588665,317851,359161,545931,184284,2039927,0
2130323,3845,2990,855,229,460,459,636,1206,474,381,0,31,321,780,2102,611,2200,1478,31,214,442,1055,1063,873,89561935,70200440,19361495,4244344,12485075,13376070,13751517,26343434,10892424,8469071,0,535610,7747986,17522026,47636636,16119677,54012190,30133569,841673,4102970,9355304,24629733,24183981,21032096,10,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171,6,0,0,0,0,0,0,0,0,0,35105,666091,331085,387094,639959,211662,2270996,0
2130322,1889,1413,476,177,310,284,245,397,200,276,24,8,494,452,823,88,741,1029,28,394,402,263,442,241,23563465,17451671,6111794,2756630,3318011,3146087,3218728,5012215,2895299,3216495,533613,95346,7039499,5217934,9103996,1573077,8808500,12172303,165908,4423192,4932942,3590886,5626438,2241438,14,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325,8,9,0,0,0,0,0,0,0,0,0,8051,107533,52868,62307,94443,39790,364992,0
2130320,71172,49183,21989,8861,7609,8572,10269,13872,10923,11066,50,4385,15457,17236,32367,1677,33421,37672,318,5798,13069,19295,19468,13146,949174476,682203558,266970918,104301607,84540435,113378762,155241678,224741076,137402617,129568301,2721244,62076331,200672764,221997610,407278877,54427650,476103898,468362286,2423363,65481687,164413850,257084449,270901442,184161392,18,127787,62156,65631,13462,15504,21348,21758,22610,33105,25032,23949,17386,18989,26740,15690,18023,18174,17929,18112,18383,18920,18246,173,12,0,0,0,0,0,0,0,0,0,87290,1376519,506871,577273,1069405,354369,3971727,0
2130319,5697,3759,1938,585,554,783,920,917,924,1014,0,382,1344,1193,2304,474,2839,2669,10,700,1230,1216,1294,1058,60135675,41974023,18161652,4957218,4735058,6216060,8788392,17277295,8269669,9891983,0,3238428,11997719,9967862,28892182,6039484,27446422,22426163,35672,6910990,10024509,10781675,12361666,9758073,5,710911,346382,364528,114675,76664,111565,110186,116078,181744,192752,139952,78308,83414,123900,92588,100183,97907,97560,96828,97702,107095,113635,34,5,0,0,0,0,0,0,0,0,0,115042,1373463,627275,733690,1265645,449710,4564825,0
2130318,130307,87779,42528,16780,14264,17232,17413,22090,21694,20834,8580,7988,32598,23206,40778,17157,70608,59584,3670,33238,30556,25428,21875,15424,1912160339,1237177138,674983201,236725981,201567549,233653088,243622879,321607641,351551818,323431383,229537050,126649811,435748060,291164357,559990545,269070516,1100382725,807296048,39690238,495865106,469207739,371676861,314104270,217134559,24,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37,1,1,0,0,0,0,0,0,0,73690,433367,264019,311264,469826,202724,1754890,3
2130316,1553,1229,324,324,195,258,323,129,259,65,0,0,648,387,518,0,905,518,0,130,388,130,452,323,14783403,12454289,2329114,4561181,1293952,2717300,2652601,1229255,1908580,420534,0,0,6469760,4884669,3428974,0,9672292,4334740,0,841069,2264416,873417,4658229,5369901,1,43319,20868,22452,5707,4607,5769,6187,7454,13592,12295,8581,4758,4701,7111,5871,6181,6088,6084,6050,6115,6339,6462,18,1,0,0,0,0,0,0,0,0,0,61179,675901,286010,341282,541253,200756,2106381,0
2130315,8154,5905,2249,1125,1221,1208,1168,1183,1029,1220,14,956,2481,1652,2641,410,4753,2964,79,1406,2113,1588,1591,941,118971427,89790415,29181012,17342810,22314681,18593924,18974283,12564717,15898997,13282015,395552,8353690,29839778,25893386,45660197,8828824,68108394,29978314,796389,15843532,35486156,18546938,18969134,8444555,9,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372,15,2,0,0,0,0,0,0,0,0,68270,1606707,465411,580172,1425471,360978,4507009,0
2130314,29683,21693,7990,4199,4099,3693,4914,4788,3984,4006,27,6540,8241,5316,7825,1734,15042,13953,41,2857,6047,7324,6469,6257,290653453,205229348,85424105,42946350,41985542,32949104,44875276,42473076,43669229,41754876,619825,53089716,76483075,54027057,80217693,26216087,138875339,142137584,184255,22808654,57196342,80254401,67107874,53461397,9,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202,21,1,0,0,0,0,0,0,0,0,32015,205600,92619,104852,154129,70931,660146,0
2130313,32709,24619,8090,3878,4711,5114,5373,5543,3368,4722,64,2458,10170,7482,11668,867,14099,16330,248,5077,8232,6358,6957,3558,322287914,240896352,81391562,38284041,47459070,50293234,50179295,54680712,33909661,47481901,1637552,22056492,107990060,70556421,105603883,14443506,134831189,147151948,1826837,43865227,73973198,65853552,64955221,31509099,16,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469,33,0,1,0,0,0,0,0,0,0,40771,570561,298493,336215,602727,232218,2080985,0
2130312,56508,38478,18030,5860,7879,7474,7702,9563,9392,8638,2123,4795,15903,11494,19818,2375,28219,25341,208,4535,11862,15048,12009,9895,681196123,459087479,222108644,67011101,94656662,84541998,90494115,122383603,114101738,108006906,33558367,51953410,209828159,113274872,234456640,38124675,337557471,280245657,2198090,44171127,132590918,195797312,133480201,109565478,15,311851,148875,162976,52245,37858,62389,55320,44134,59907,61831,58591,42987,45237,63426,39779,44681,44422,44971,44761,44667,44488,43864,619,9,0,0,0,0,0,0,0,0,0,82080,981004,470945,567370,895563,330184,3327146,0
2130311,90579,62227,28352,10323,11537,11036,13320,16011,14731,13621,802,1956,24842,20202,37177,5600,45215,43371,1209,15624,21876,21971,16684,11223,1131300000,788839602,342460398,137318387,137598764,125746470,167796067,220379914,193387603,149072795,36296097,25759207,277777686,213962021,447074462,130430527,576810277,487955679,11426574,190955651,256713115,258365004,209812179,137493438,28,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624,377,17,0,2,0,0,0,0,0,0,0,93629,1382331,778156,949073,1554633,640413,5398235,3
2130310,214118,148404,65714,28059,30044,29210,27436,33655,31417,34297,0,13235,64763,45105,77545,13470,100332,106872,6719,26275,31390,55122,57276,30418,2232829724,1524465387,708364337,254639263,311492360,309392790,285429036,363511938,320686698,387677639,0,96584396,700321480,423068970,831842471,181012407,1046178748,967038819,65045325,220199145,303739081,537788079,614744242,271701695,16,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298,30,0,3,0,0,0,0,0,0,0,17564,405548,201058,266278,358025,142854,1391327,1
2130307,3284,2007,1277,261,511,447,131,657,655,622,0,235,1246,772,1031,0,1162,1922,50,197,332,1125,939,441,26410742,15292468,11118274,1875802,4002664,3095343,902806,5415853,5890448,5227826,0,1936544,9956886,6428744,8088568,0,8898404,15087854,314872,1332151,2382100,9094003,7411719,3451412,3,197784,89690,108094,70074,15981,16707,44777,26727,23518,37533,37272,24888,29582,41205,27305,27738,28097,28018,27968,27725,29161,29077,57,9,0,0,0,0,0,0,0,0,0,47890,1330410,779176,892432,1419528,571669,5041105,0
2130306,28074,26571,1503,4883,5253,5763,5417,5255,1297,206,210,1757,19009,2140,4518,440,12267,10286,12,4092,7864,6073,3303,1210,538584084,497088686,41495398,97040533,99868690,114778204,89673784,95727475,35184839,6310559,17666866,20218693,309799089,34794024,113201463,42903949,209132936,148177550,98978,51548416,113220139,107707531,61998325,22737097,10,152158,75352,76806,6374,32021,46392,32271,18953,16147,37362,34266,22337,21016,21542,15637,22726,23982,24168,23863,22398,17655,17370,235,4,0,0,0,0,0,0,0,0,0,42091,281171,126737,143298,235419,95220,923936,0
2130303,46805,37548,9257,5654,6693,8004,8368,8829,6843,2414,7984,2676,7982,4247,13692,10224,27422,15441,127,9278,15575,10355,5001,2526,1135999243,906364776,229634467,142135575,160824257,176628811,197185316,229590817,181579432,48055035,143463829,42125742,134022463,61765073,402115409,352506727,668350529,315579145,1283400,216607521,404688422,195856143,113201033,52293159,17,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368,242,5,0,0,0,0,0,0,0,0,0,126413,1572231,579758,704601,1502829,565506,5051338,0
2130299,297112,205252,91860,36877,34708,36663,40526,56478,50317,41543,2456,50080,83285,48752,88227,24312,133173,152208,4014,74153,66587,56247,55658,28723,3624690779,2457192760,1167498019,454672323,414756531,459720485,488882258,639161163,594509255,572988764,16921651,386119010,1203215247,565298246,1213701336,239435289,1481155269,1873301719,37504852,849747306,893263808,682554499,591013498,300373025,21,40732,17045,23687,6621,6448,6632,7754,6323,6955,3867,6681,8115,8957,9862,3250,5574,5594,5703,5789,6020,6278,5773,1850,11,0,0,0,0,0,0,0,0,0,182224,3813342,3193955,3815164,5335839,1737042,18077566,1
2130296,5476,4578,898,929,1038,911,814,886,619,279,66,315,2534,892,1663,6,2685,2682,66,902,1528,1482,978,409,59552561,49217739,10334822,9912575,11140456,8911150,9642107,9611451,7727287,2607535,5354703,9968128,22615123,7287436,14303494,23677,35790085,22448084,363339,6604610,13223460,25881086,8821149,3344525,4,40561,18997,21564,7642,4994,5133,8040,6197,8557,15372,8073,3529,3390,4907,5290,5747,5796,5773,5748,5714,5864,5918,85,1,0,0,0,0,1,0,0,0,0,32148,591952,294244,364070,572395,222209,2077018,0
2130295,42166,28249,13917,4534,5734,4631,6531,6819,7234,6683,87,3059,10658,8472,17858,2032,19095,22859,269,8421,12327,8900,7595,4442,324701636,214778165,109923471,30789919,42779795,38084220,51492971,51631260,56663085,53260386,3555759,24282013,86442698,61228350,129449731,19743085,149865348,168517842,1480702,58145427,86008051,75884696,62198147,34666166,13,272831,125971,146859,27727,57554,52575,38131,38432,58413,59232,49001,31822,35927,57598,39250,38441,38099,38015,38140,38209,40823,41103,122,18,1,0,0,0,1,0,0,0,0,30278,510205,247678,286783,466468,230656,1772068,0
2130294,6508,4635,1873,776,922,837,1038,1062,891,982,0,99,2669,1511,2193,36,3543,2773,27,1025,1549,1525,1564,624,74724810,50645611,24079199,8757369,9789216,9271944,11726064,11101018,11119114,12960085,0,958522,33105923,15401937,24848270,410158,37828561,32804676,188346,11040614,17748885,18783773,16660951,6210667,7,282176,130326,151850,43363,50183,43018,39605,36531,69477,57969,57488,40074,41014,52526,33103,40280,40498,40740,40476,40386,40110,39685,102,12,0,2,0,0,0,0,0,0,0,128139,1015037,537643,629510,1000370,440647,3751346,0
2130293,14664,11069,3595,2285,1978,2420,2069,2317,1660,1935,194,2544,3875,2425,4425,1201,7938,6272,97,3789,3250,2534,2555,1988,150385112,112530499,37854613,27930334,17635308,21856465,22229380,22879012,17924155,19930458,2219166,20312534,45063938,20871901,47612092,14305481,76093452,53737163,1028749,32745628,28383001,25244492,21403255,21025491,5,58341,27792,30548,5734,13758,10415,8266,7729,12439,8258,11738,9418,9901,13010,6018,8246,8254,8278,8289,8408,8650,8214,154,2,0,0,0,0,0,0,0,0,0,143545,1317437,721859,819703,1269687,585413,4857644,0
2130292,2651,1837,814,375,328,94,403,637,463,351,0,71,691,702,1163,24,1224,1427,18,198,568,653,775,439,20577604,14504696,6072908,2698226,1912926,591608,2961020,6340916,3413889,2659019,0,722687,5106205,5830647,8648886,269179,9037996,11539608,86305,1443495,4186148,5408879,5893259,3559518,2,114537,52903,61633,23119,14056,18549,19666,13689,25458,21947,22292,15945,17424,24104,12825,15642,15506,15298,15568,15644,18434,18444,0,0,0,0,0,0,0,0,0,0,0,41669,491082,258603,312680,450017,183346,1737397,0
2130291,3763,2381,1382,333,370,528,510,640,696,686,0,0,677,890,2177,19,1433,2312,19,1095,1123,816,552,140,37176894,24036664,13140230,3357811,3388396,6292073,4406953,6591431,6733233,6406997,0,0,7999246,9138289,19798390,240969,13318465,22699923,293797,10126094,11348778,8108849,4679416,1461454,2,21363,10287,11076,1632,5939,4109,2417,2758,4508,5182,4096,2508,2570,4018,2988,2986,3012,3046,3019,2981,3143,3177,0,0,0,0,0,0,0,0,0,0,0,145335,1824671,807423,918415,1610222,639573,5945639,0
2130290,25549,20165,5384,3802,4312,4187,3985,3879,2228,3156,472,2883,6382,3322,9722,2768,12608,11693,213,7176,5859,4133,4488,2432,297263658,226175002,71088656,42668087,47366266,43281514,44894960,47964175,31161627,39927029,12768171,20380682,75167817,34804550,107198822,46943616,146960396,121599243,1892204,76852832,68491985,48008318,51053737,22260567,23,555518,262026,293492,48577,137009,100823,67917,72207,128986,130132,112733,65968,67827,103826,75033,79617,80555,80634,80328,79710,78045,76630,417,30,1,1,0,0,1,0,0,0,0,145335,1824671,807423,918415,1610222,639573,5945639,0
2130289,4157,2014,2143,479,373,317,408,437,1026,1117,0,324,633,1280,1773,147,2273,1884,287,621,728,1043,1200,278,24732032,12956884,11775148,2772154,2553392,2002620,2336037,3292681,5549935,6225213,0,1616445,4681219,7787495,9828803,818070,12476855,12255177,1317784,4126279,4137129,7714310,5751479,1685051,3,61494,29119,32375,6669,11889,10588,8573,9284,14490,13732,11631,7312,7838,12240,8742,8818,8687,8542,8500,8660,9029,9255,36,3,0,0,0,0,0,0,0,0,0,145555,1805772,814413,942526,1617918,642060,5968244,0
2130285,92321,65143,27178,12509,12000,12617,12932,15085,14173,13005,1398,2534,16721,17704,38604,15360,44988,47220,3311,31097,27098,14241,10973,5489,950050259,625914424,324135835,126537801,109860576,122172528,121556152,145787367,162461837,161673998,38259865,20621982,172504343,177003157,376202210,165458702,509907554,435167751,32903379,327661349,271745681,161882290,105772174,45110430,25,910804,475621,435184,72375,317239,185091,112150,96822,127129,110846,139016,124545,150413,242624,143361,121197,121595,126039,127152,135066,144364,135391,615,31,1,0,0,0,0,0,0,0,0,366837,4714668,1993005,2327789,4491087,1971134,15864520,4
2130284,5474,3686,1788,709,177,744,709,1347,744,1044,18,744,992,1010,2054,656,2856,2583,19,1238,1044,1041,877,1220,53373062,38048947,15324115,6761107,1470576,6725672,8706521,14385071,7250119,8073996,88589,6195911,10118628,9351448,22278345,5340141,26219542,25893786,89955,12271035,8011591,9118415,8648332,13973999,3,73886,38421,35465,4388,22532,15388,9386,8819,13373,18781,12694,7743,8593,13911,12163,9895,9697,10057,10012,10284,11787,12155,17,4,0,0,0,0,0,0,0,0,0,363795,4773636,2003309,2337429,4499444,1974165,15951778,4
2130283,16780,11081,5699,2425,1193,2201,2234,3028,2913,2786,0,561,2672,3470,8594,1483,8134,8646,105,3043,4170,3461,3448,2553,168451517,106438673,62012844,21555768,10722171,20405405,21262029,32493300,31920892,30091952,0,5149062,25831775,33361049,87545228,16564403,85412951,83038566,938374,31753290,41973676,37531768,34893846,21360563,13,988116,508353,479764,63837,302003,197663,124703,124310,175602,187091,165475,118319,136678,222717,157835,133061,130620,134826,134580,139666,157385,157978,25,5,0,0,0,0,0,0,0,0,0,360739,4733177,1993925,2339918,4526172,1995832,15949763,4
2130281,7163,5186,1977,1192,964,898,1075,1057,1009,968,544,1702,1380,909,2029,599,3784,3219,180,1106,1099,1236,2224,1161,61482550,44294361,17188189,10009227,7382107,8210184,9163935,9528908,9022766,8165423,3425931,12502067,12996158,7662723,20151015,4744656,31647684,25656609,1127631,7048122,8242893,12576093,17604809,10704743,4,61091,29876,31214,9526,8506,8828,9406,8980,15845,17363,11852,6289,6293,10443,8851,8665,8561,8471,8446,8473,9052,9422,1,4,0,0,0,0,1,0,0,0,0,61121,417454,194536,214128,303542,122868,1313649,0
2130279,28485,16866,11619,3411,2573,3367,2949,4566,5308,6311,0,9145,5821,5345,7857,317,15340,12949,53,3741,4399,7501,8095,4498,268155180,155486203,112668977,30882673,23287240,29394913,30716096,41205281,47603235,65065742,0,90492304,56387550,48257682,70527658,2489986,137021374,120560882,144993,28991359,39276038,70112963,77557099,41499803,7,400902,191170,209731,27466,94511,78308,54043,54970,91604,121424,83264,40123,40506,61820,53764,56625,55371,55303,55710,55565,59700,62629,120,14,1,1,0,0,0,0,0,0,0,165334,2031964,768024,899198,1729741,745588,6339849,0
2130278,2574,1795,779,280,282,314,430,489,327,452,0,28,1321,681,544,0,1402,1164,0,249,576,416,830,494,35626250,23185475,12440775,3020407,2874672,4186594,6619327,6484475,4565004,7875771,0,229274,19591926,9061989,6743061,0,20267777,15285829,0,2641875,5557070,6335572,11605399,9413689,5,311743,138646,173099,53994,41052,41940,49706,46195,78857,92178,63268,34311,34829,48194,38965,44553,42990,42769,42817,43292,47052,48272,75,12,0,0,0,0,0,0,0,0,0,73952,603295,329589,397620,609223,243405,2257084,0
2130277,2339,1900,439,297,259,316,509,519,210,229,0,96,757,343,1105,38,1226,864,0,259,643,431,440,314,41407266,32785546,8621720,6694408,4026497,4635209,5575637,11853795,4184116,4437604,0,1766427,13275967,6430895,19132690,801287,22203072,10753187,0,3274529,7351648,8168342,9263865,4897874,4,234618,114085,120531,21824,47887,43329,35375,33340,52862,66285,49448,26021,24944,37462,30457,33539,32991,32992,32914,32766,34328,35088,98,2,0,0,0,0,0,0,0,0,0,110080,890935,388740,440011,737648,304734,2872148,0
2130274,9652,6826,2826,1182,1214,1516,1408,1506,1482,1344,86,3256,2397,1129,2171,613,4826,4268,118,1462,3117,1977,1558,860,151335192,119400363,31934829,16885366,21207479,25974593,24201034,31131891,20331447,11603382,1091008,43027642,18733094,10587616,40446842,37448990,81291394,53764668,494447,29127231,45541797,31225405,18380531,10286647,3,516602,258039,258561,37700,125860,103053,71794,70522,107671,95811,100087,61766,65290,120321,73329,71123,74376,75999,76679,78327,74739,65359,389,16,0,2,0,0,0,0,0,0,0,272505,3526734,1787137,2087442,4072161,1775038,13521017,4
2130273,65461,41972,23489,3131,9302,8886,9505,11148,13454,10035,567,21078,22137,11521,8515,1643,28411,35845,360,4976,13948,17965,15443,11564,772312314,460296295,312016019,28953535,98508839,91185840,105998503,135649578,179085470,132930549,5352180,302312913,253521415,118264647,80546956,12314203,333419671,398360693,2077415,44765805,143997482,222079048,187087130,131773486,14,618621,280682,337939,95402,88009,89894,88774,94471,162072,104942,118143,84097,93820,139419,78198,86653,88511,89250,89453,90730,89683,84341,141,39,0,1,0,0,0,0,0,0,0,116298,2322926,1302332,1545668,2576456,910321,8774001,4
2130271,30018,22410,7608,4419,4573,2563,5332,5523,4352,3256,48,4983,7753,4831,10717,1686,12671,16636,234,4664,7028,7659,6210,3515,331763440,233811679,97951761,38884200,47637795,35361155,53619053,58309476,56337223,41614538,2245605,38726622,64190653,39766840,139533939,47299781,149021789,166150372,1476049,53533930,81134115,78399163,68496440,32132469,10,231226,104455,126772,25755,38964,39567,38781,31205,56952,53133,43782,25653,27216,45349,36093,31866,32522,32344,32211,31880,34762,35642,467,28,0,1,0,0,0,0,0,0,0,40171,902990,410410,457217,762811,285337,2858936,0
2130269,9730,7976,1754,1302,1773,1537,1772,1592,1501,253,0,687,4992,1230,2749,72,3682,5741,181,1274,1697,2594,2586,1090,101340266,76908134,24432132,11247571,17710538,15740088,16070153,16139784,19105859,5326273,0,7454974,45341147,14309500,31729760,2504885,38338614,56425650,1515840,13582517,16600840,28725223,22828703,11511140,3,40066,18895,21171,6128,9552,4615,5389,5410,8971,8716,7180,5194,5780,8146,5049,5523,5628,5687,5579,5579,6006,6065,0,0,0,0,0,0,0,0,0,0,0,38718,572758,300536,362166,603471,270174,2147823,0
2130268,6034,4734,1300,775,1062,893,1101,903,759,541,0,206,2096,1001,2508,223,2370,3450,148,1482,938,1429,1317,507,83000938,64350592,18650346,10422463,14271007,11718143,14964397,12974582,10195768,8454578,0,2461512,28001133,13592545,35149084,3796664,31673067,41927607,1951908,16981086,11027133,19352232,17015403,7272911,12,393176,178207,214968,53940,75076,48755,55101,56597,103707,102123,80380,44781,47028,70322,48544,55381,55016,54528,54173,54503,59322,60253,239,20,1,0,0,0,0,0,0,0,0,47872,637979,336615,405977,682947,306677,2418067,0
2130266,14783,11408,3375,2515,1688,2310,2444,2451,2476,899,0,1783,4229,2772,5319,680,7436,7181,104,4481,3916,2249,2642,1224,106951169,80082324,26868845,16991612,11616688,15989389,18568094,16916541,18607875,8260970,0,10239753,29899899,19221271,42240346,5349900,52858023,52058541,424186,27491485,25793821,20402633,21188758,9615681,6,95433,54538,40895,5926,41076,20325,9278,7961,10867,22596,17627,12320,12453,17612,12822,13817,14131,14097,14071,14181,13075,12062,129,5,0,0,0,0,0,0,0,0,0,199063,2617876,1238607,1361813,2545290,1135667,9098316,4
2130265,32526,22789,9737,2834,4842,4638,5115,5360,5014,4723,0,151,11511,5995,14256,613,14653,17873,1810,13041,7315,3841,5441,1078,465856381,306848186,159008195,40710435,60120500,60773153,69497462,75746636,78612840,80395355,0,936249,147911325,86890546,213850692,16267569,214558129,251298252,24275414,181402597,102583251,67242414,77264251,13088454,7,80845,46094,34751,4834,37999,16901,7638,5857,7615,15790,15229,11752,12011,16188,9876,11655,11935,11975,11873,11865,11267,10275,115,3,0,0,0,0,0,0,0,0,0,198251,2560775,1208973,1329104,2495725,1113979,8906807,4
2130264,2879,1967,912,544,96,192,583,552,456,456,0,0,360,520,1519,480,1464,1376,25,235,679,1079,627,195,27387737,18203584,9184153,4710415,887551,1795092,5265334,5545192,4121115,5063038,0,0,4037956,4702419,14461481,4185881,14401437,12326634,350822,2305856,6403563,10463889,5477324,1726617,2,221945,100637,121308,44073,29560,37362,33554,30503,46893,36231,45652,27446,33074,48145,31397,32028,31807,31865,31975,31243,31527,31499,65,2,0,0,0,0,0,0,0,0,0,22908,326817,147571,170536,266322,109520,1043674,0
2130262,2088,1404,684,260,338,340,265,201,239,445,0,31,503,371,1107,76,1065,957,0,298,398,492,599,235,27334567,18811871,8522696,4784714,4830380,4267339,3038670,1890768,2835143,5687553,0,362571,8614154,3828556,13861734,667552,13312874,12388498,0,3030656,4294232,7813524,7599437,2963522,4,291276,135445,155832,31880,47994,54291,39262,42515,75335,73076,57553,33213,34155,52670,40612,40879,41017,40890,40887,40704,43031,43869,18,8,0,0,0,0,0,0,0,0,0,71785,923631,462856,522376,832676,316799,3130123,0
2130261,104765,75986,28779,15027,14329,14892,15141,16597,16011,12768,3230,13360,22077,18144,36690,11264,51543,53222,1088,19294,22109,22331,22378,17565,946790119,671821384,274968735,130063625,129133698,127266669,135959840,149397552,153749091,121219644,30417081,114343535,207342725,165104832,331641350,97940596,484981981,461808138,11139443,167761504,196494677,226086735,193226324,152081436,7,342451,154008,188443,37545,58382,57339,50718,52271,86197,62290,59190,44188,50637,76581,49566,49015,48914,48405,48063,48725,50207,49122,211,30,1,2,0,0,1,0,0,0,0,105582,1473568,675305,773355,1341001,508617,4877428,0
2130260,32456,22805,9651,3753,4708,5395,4527,4422,4426,5225,695,5268,11071,4245,8542,2635,14049,17145,470,9844,7270,4745,5606,3262,351221586,241413852,109807734,38632008,47948356,57610125,50607786,46615577,47902522,61905212,15498121,48464038,123971293,39749315,89094837,34443982,155908785,168236223,3610760,84033035,74012376,50232493,72290087,39966257,11,97785,45190,52597,9823,15998,17397,15229,16541,22800,25382,19877,12189,12164,16909,11264,13525,13575,13475,13450,13424,14846,15490,70,6,0,0,0,0,0,0,0,0,0,146790,1804667,727480,843306,1537656,645328,5705227,0
